,地块编号,宗地位置,地块面积（平方米）,用途,限高,容积率,起始价格（万元）
135,郑政高出〔2019〕8号,莲花街南、西四环辅道西,115219.86,工业用地,＜60,＞1.6,50
136,郑政高出〔2019〕9号,莲花街南、山茶路西,71350.12,工业用地,＜60,＞1.6,50
137,郑政高出〔2019〕10号,雪梅街南、翠柏路西,34126.44,工业用地（地下交通服务场站用地、工业用地）,＜80,＞1.6,50（地下空间50）
138,郑政高出〔2019〕14号,雪梅街北、翠柏路西,21333.70,工业用地（地下交通服务场站）,＜100,＞1.0,50（地下空间50）
139,郑政高出〔2019〕15号,河阳路北、翠柏路西,122120.92,工业用地（新型产业用地）、（地下交通服务场站、工业用地）,＜80,＞1.6＜2.5,工业50、零售商业、餐饮、旅馆40（地下空间50）
140,郑政高出〔2019〕1号（网）,梧桐街北、梅林路东,47823.65,城镇住宅（地下交通服务场站用地）,＜100,"＞1.1,＜3.5",46923
141,郑政高出〔2019〕2号（网）,紫檀路东、杜英街南,37636.04,城镇住宅（地下交通服务场站用地）,＜60,"＞1.1,＜2.0",31438
142,郑政高出〔2019〕3号（网）,梧桐街南、梅林路东,39316.99,城镇住宅（地下交通服务场站用地）,＜60,"＞1.1,＜2.0",32772
143,郑政高出〔2019〕4号（网）,梧桐街北、金柏路西,11164.94,零售商业、批发市场、餐饮、旅馆（地下交通服务场站用地）,＜80,"＞1.1,＜3.0",10604
144,郑政高出〔2019〕5号（网）,科学大道南、金柏路东,21480.41,零售商业、批发市场、餐饮、旅馆兼容商务金融,＜100,＜3.5,20483
145,郑政高出〔2019〕6号（网）,杜英街北、红杉路西,42352.55,城镇住宅,＜100,"＞1.0,＜3.5",39700
146,郑政高出〔2019〕7号（网）,石楠路西、冬青街北,70151.91,城镇住宅（地下交通服务场站用地）,＜100,"＞1.0,＜3.0",84859
147,郑政东出〔2019〕3号（网）,龙湖中环南路南、龙腾二街东,55185.94,地上：零售商业、批发市场、餐饮、旅馆用地地下：交通服务场站用地,＜20,＜1.5,68000
148,郑政东出〔2019〕4号（网）,动力北路北、嘉苑东路西,6957.82,地上：商服用地（零售商业、批发市场、餐饮、旅馆、商务金融）地下：商服（零售商业、批发市场、餐饮、旅馆）、交通服务场站用地,40-45,＜5.0,9700
149,郑上出〔2019〕6号（网）,商业街西侧、济源路南侧,41658.21,城镇住宅兼容零售商业、批发市场、餐饮、旅馆,＜100,＞1、＜4.0,20224
150,郑政出〔2019〕46号（网）,新兴街南、天河路东,61912.23,城镇住宅（地下交通服务场站用地）,＜100,"＞1.1,＜3.3",67236
151,郑政出〔2019〕47号（网）,永兴路南、慧科环路西,80207.74,城镇住宅（地下交通服务场站用地）,＜50,"＞1.0,＜2.6",81749
152,郑政出〔2019〕38号（网）,明珠路东、豫五路南,28608.73,城镇住宅（地下交通服务场站用地）,＜100,"＞1.1,＜2.5",28819
153,郑政出〔2019〕39号（网）,荆庄路东、豫五路南,45604.51,城镇住宅（地下交通服务场站用地）,＜100,"＞1.1,＜2.5",45908
154,郑政出〔2019〕40号（网）,飞翔路北、富国路西,22633.5,仓储用地（地下交通服务场站用地）,＜40,"＞1.6,＜2.5",1908
155,郑政出〔2019〕41号（网）,豫二路南、白玉路西,40588.22,城镇住宅（地下交通服务场站用地）,＜80,"＞1.0,＜3.0",42645
156,郑政出〔2019〕42号（网）,豫三路南、豫兴路西,41863.91,城镇住宅（地下交通服务场站用地）,＜60,"＞1.0,＜2.0",40212
157,郑政出〔2019〕43号（网）,兴隆铺路南、粮食西路西,48001.95,城镇住宅兼容零售商业、餐饮、旅馆、商务金融（地下交通服务场站）,＜100,"＞1.0,＜4.5",71408
158,郑政出〔2019〕44号（网）,滨河路北、清华园路西,32926.67,城镇住宅（地下交通服务场站）,＜100,"＞1.0,＜2.0",32438
159,郑政出〔2019〕45号（网）,石苏路北、中央东路西,31299.57,城镇住宅兼容零售商业、餐饮、旅馆（地下交通服务场站）,＜100,"＞1.0,＜2.5",33223
160,郑政出〔2019〕36号（网）,林荫北路南、思源路西,42538.29,城镇住宅（地下交通服务场站用地）,＜80,"＞1.0,＜3.2",44523
161,郑政出〔2019〕37号（网）,林荫北路北、思源路西,55787.54,城镇住宅（地下交通服务场站用地）,＜80,"＞1.0,＜3.0",57407
162,郑上出〔2019〕5号（网）,金华路东侧、许昌路南侧,36019.87,城镇住宅,＜80,＞1、＜2.5,14859
163,郑政经开出[2019]006号（网）,南三环（规划路名物流大道）以南、凤河东街（规划路名花马东街）以东,4405.26,仓储用地（地下空间）,生产性建筑＜40，非生产性建筑＜80,＞1.6,276
164,郑政出〔2019〕34号（网）,刘湾路南、香江路西,48975.2,城镇住宅（地下交通服务场站用地）,＜80,"＞1.1,＜2.5",48457
165,郑政出〔2019〕35号（网）,刘湾北路南、兴业路东,30711.58,城镇住宅（地下交通服务场站用地）,＜80,"＞1.1,＜3.0",31671
166,郑政经开出[2019]003号（网）,泰达路（规划路名寿达路）以南、远通街（规划路名信通一街）以东、信通北街（规划路名信通街）以西,26681.05,仓储用地,生产性建筑＜40，非生产性建筑＜80,＞1.2,1320
167,郑政经开出[2019]004号（网）,望湖路以南、凤河东街（规划路名花马东街）以东,20301.69,仓储用地,生产性建筑＜40，非生产性建筑＜80,＞1.6,994
168,郑政经开出[2019]005号（网）,兰心东路以南、浔江东路（规划路名九龙大道）以北、傲雪南路以东,19839.68,仓储用地,生产性建筑＜40，非生产性建筑＜80,＞1.6,1151
169,郑政出〔2019〕31号（网）,鸿业路北、任庄路东,29968.44,城镇住宅（地下交通服务场站用地）,＜88,"＞1.1,＜1.7",24504
170,郑政出〔2019〕32号（网）,郑少高速辅道南、景西一路东,41297.17,城镇住宅（地下交通服务场站用地）,＜60,"＞1.0,＜2.5",41458
171,郑政出〔2019〕33号（网）,玉瑞路东、金龙路北,16431.36,城镇住宅（地下交通服务场站用地）,＜100,"＞1.0,＜3.5",17865
172,郑政出〔2019〕29号（网）,鸿发路北、博学路东,88590.39,城镇住宅（地下交通服务场站用地）,＜54,"＞1.1,＜2.0",83716
173,郑政出〔2019〕30号（网）,鸿业路南、农场路西,75196.93,商务金融（地下交通服务场站用地）,＜63,＜2.0,68775
174,牟政出〔2018〕231号（网）,白沙园区宇正路北、忠贤西路南、锦绣路西、大有路东,49602.95㎡,地上：仓储用地地下：交通服务场站用地,＜80,＞1.2，＜2.5,5000
175,郑政出〔2019〕28号（网）,新城北路南、京水路东,26365.16,商务金融（地下交通服务场站用地）,＜50,＜4.0,25784
176,郑政出〔2019〕27号（网）,小李庄路南、建文路西,26699.18,城镇住宅（地下交通服务场站用地）,＜100,"＞1.1,＜3.0",28099
177,郑政出〔2019〕24号（网）,刘东路东、九冶路北,30864.92,城镇住宅（地下交通服务场站用地）,＜100,"＞1.1,＜3.0",32061
178,郑政出〔2019〕25号（网）,京广南路东、左江路北,50174.36,城镇住宅（地下交通服务场站用地）,＜100,"＞1.1,＜3.0",52003
179,郑政出〔2019〕26号（网）,振兴东路东、百姓路南,44615.31,城镇住宅（地下交通服务场站用地）,＜100,"＞1.1,＜3.0",46740
180,郑政出〔2019〕22号（网）,兴隆路南、飞达路西,29662.29,城镇住宅（地下为交通服务场站）,＜100,"＞1.1,＜3.0",32133
181,郑政出〔2019〕23号（网）,颍河西路南、石羊路东,38004.69,城镇住宅（地下为交通服务场站）,＜100,"＞1.1,＜5.5",58474
182,郑政东出〔2019〕2号（网）,薛夏南街北、薛岗街东,53189.50,地上：商务金融用地地下：交通服务场站用地,＜120,＜4.5,51700
183,郑政出〔2019〕20号（网）,博卉路北、园田北路西,33769.09,城镇住宅（地下交通服务场站用地）,＜100,"＞1.1,＜4.8",53836
184,郑政出〔2019〕21号（网）,国基路南、园田北路西,61008.9,城镇住宅兼容零售商业、餐饮、旅馆、商务金融（地下交通服务场站用地）,＜100（商务建筑高度小于150米）,"＞1.1,＜6",106652
185,郑政出〔2019〕17号（网）,翰林路南、长安路东,5033.66,城镇住宅,＜100,"＞1.0,＜3.5",6133
186,郑政出〔2019〕18号（网）,魏河南路南、桑叶路西,22801.21,城镇住宅,＜100,"＞1.0,＜3.5",27795
187,郑政出〔2019〕19号（网）,景泰路东、杨金路北,27584.36,商务金融（地下为交通服务场站）,＜50,＜2.5,25472
188,郑政出〔2019〕13号（网）,林荫北路南、思源路西,42538.29,城镇住宅（地下交通服务场站用地）,＜80,"＞1.0,＜3.2",44523
189,郑政出〔2019〕14号（网）,林荫北路北、思源路西,55787.54,城镇住宅（地下交通服务场站用地）,＜80,"＞1.0,＜3.0",57407
190,郑政出〔2019〕15号（网）,郑港辅路西、鸿宝路北,48749.36,城镇住宅（地下交通服务场站用地）,＜94,"＞1.0,＜2.0",41863
191,郑政出〔2019〕16号（网）,芦庄路南、南岗路西,48210.4,城镇住宅,＜80,"＞1.0,＜3.5",50967
192,郑政东出〔2019〕1号（网）,康宁街（原康宁路）南、心怡路东,16955.08,地上：商服用地地下：商服用地、交通服务场站用地,＜150,＜6.8,29700
193,郑政出〔2019〕12号（网）,水磨路北、萍湖路西,38584.36,城镇住宅（地下交通服务场站用地）,＜40,"＞1.0,＜1.6",33124
194,郑政东出〔2018〕25号（网）,九如东路东、如意河东二街南,64692.24,城镇住宅,＜24,＞1.0；  ＜1.7,168000
195,郑政出〔2019〕10号（网）,思源路南、景中路西,34626.81,城镇住宅（地下交通服务场站用地）,＜40,"＞1.0,＜2.0",31623
196,郑政出〔2019〕11号（网）,林荫南路东、同欣路南,20369.79,城镇住宅（地下交通服务场站用地）,＜24,"＞1.0,＜1.4",17167
197,郑政出〔2019〕8号（网）,田园路东、九冶路南,67185.27,城镇住宅（地下交通服务场站用地）,＜100,"＞1.1,＜3",56869
198,郑政出〔2019〕9号（网）,中原西路北辅道北、中州路西,20058.87,商务金融兼容零售商业、批发市场、餐饮、旅馆用地（地下交通服务场站用地）,＜100,＜4,23108
199,郑政东出〔2018〕27号（网）,北三环路南、九如路东,43232.88,城镇住宅,＜24,＞1.0；  ＜1.7,112000
