Column1,地块编号,宗地位置,地块面积（平方米）,用途,成交价格（万元）,受让单位
71,郑政出〔2019〕46号（网）,新兴街南、天河路东,61912.23,城镇住宅（地下交通服务场站用地）,67236.0,河南中创置业有限公司
220,郑政出[2018]117号（网）,大河路南、天河路东,60779.86,城镇住宅,54982.0,河南中创置业有限公司
221,郑政出[2018]118号（网）,新兴街南、机关路西,32614.76,城镇住宅,27250.0,河南中创置业有限公司
35,郑政出〔2019〕72号（网）,飞达路东、兴隆路南,34429.71,城镇住宅（地下交通服务场站用地）,38111.0,河南中珂置业有限公司
36,郑政出〔2019〕73号（网）,十八里河路南、飞达路东,37822.78,城镇住宅（地下交通服务场站用地）,41913.0,河南中珂置业有限公司
125,郑政出〔2019〕22号（网）,兴隆路南、飞达路西,29662.29,城镇住宅（地下为交通服务场站）,32133.0,河南中珂置业有限公司
219,郑政出[2018]116号（网）,十八里河路南、飞达路西,32497.91,城镇住宅,28296.0,河南中珂置业有限公司
290,郑政经开出[2018]021号,经开第三大街以西、机场高速以东,4218.30,工业用地,290.0,河南中烟工业有限责任公司
291,郑政经开出[2018]022号,南三环以南、经开第三大街以东,16980.03,工业用地,1160.0,河南中烟工业有限责任公司
225,郑政出[2018]106号（网）,国泰北路北、中州大道西,44215.14,城镇住宅兼容零售商业、餐饮、旅馆,66300.0,河南中永置业有限公司
74,郑政东出〔2019〕4号（网）,动力北路北、嘉苑东路西,6957.82,地上：商服用地（零售商业、批发市场、餐饮、旅馆、商务金融）地下：商服（零售商业、批发市场、餐饮、旅馆）、交通服务场站用地,9700.0,河南中原版权保护中心有限公司
239,郑政出〔2018〕97号（网）,幸运路南、胖庄路西,49161.45,城镇住宅,40023.0,河南中之祥置业有限公司
274,郑政出〔2018〕65号（网）,开元路北、天山路东,25111.39,娱乐、其他商服兼容零售商业、批发市场、餐饮、旅馆,18538.0,河南中之祥置业有限公司
47,郑政出〔2019〕68号（网）,芳仪路南、南四环路辅道西,39059.32,城镇住宅,,流拍
48,郑政出〔2019〕69号（网）,鼎盛大道南、青铜西路东,34849.06,零售商业、餐饮、旅馆、商务金融,,流拍
148,郑政出〔2018〕164号（网）,新城北路南、京水路东,26365.16,商务金融(地下交通服务场站),,流拍
207,郑政出〔2018〕122号（网）,河村中街西、新城北路南,67230.84,城镇住宅,61019.0,流拍
208,郑政出〔2018〕123号（网）,杨槐东路东、新城北路南,26255.76,商务金融兼容零售商业、餐饮、旅馆,26907.0,流拍
241,郑政东出[2018]19号（网）,如意河东二街南、九如路西,51922.88,城镇住宅,157500.0,青岛中海盛兴房地产有限公司
30,郑上出[2019]10号（网）,金华路以东、规划漓江路南侧,41786.63,城镇住宅兼容零售商业、批发市场、餐饮、旅馆,16297.0,山西盛昌置业有限公司
67,郑政东出[2019]6号（网）,圃田北路南、圃田西路东,1461.84,交通服务场站用地（地下空间）,193.0,尚湖实业有限公司
213,郑上出[2018]07号（网）,金华路东侧、规划漓江路南侧,40954.03,城镇住宅、商服,19858.0,天地源股份有限公司
29,郑政东出〔2019〕11号（网）,龙湖中环东路东、南录庄街北,56247.63,地上：城镇住宅用地地下：交通服务场站用地,194000.0,天津绿城北方置地有限公司北京绿城投资有限公司
179,郑政出[2018]151号（网）,莲花街南、川杨路西,48549.1,城镇住宅（地下交通服务场站用地）,63333.0,西安博朗房地产开发有限公司
80,牟政出〔2018〕232号（网）,白沙园区白沙路南、同德路东、润丰路北、雁鸣路西,69994.39,地上：城镇住宅用地地下：交通服务场站用地,55000.0,新东润地产有限公司
70,郑政高出〔2019〕18号,红杉路东、雪梅街南,65687.91,工业用地（地下交通服务场站用地）,5917.0,新天科技股份有限公司
25,郑政东出〔2019〕13号（网）,龙湖外环北路南、龙津路东,72440.64,城镇住宅（地下为交通服务场站）,267000.0,烟台中海兴业地产有限公司中海兴业武汉房地产有限公司
